date,month,strategy,type,entry,stoploss,target,rr,ai_prob,ai_confidence,bias,macro_bias,regime,result,pnl_r
2024-02-05,2024-02,VWAP_REVERSION,SELL,45826.75,45935.52,45696.23,1.2,0.714,HIGH,NEUTRAL,NEUTRAL,RANGE,LOSS,-1.0
2024-02-05,2024-02,VWAP_REVERSION,SELL,45880.45,45983.86,45756.36,1.2,0.578,MEDIUM,NEUTRAL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-02-05,2024-02,VWAP_REVERSION,SELL,45889.8,45969.53,45794.12,1.2,0.681,HIGH,NEUTRAL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-02-06,2024-02,VWAP_REVERSION,SELL,45733.8,45782.75,45675.06,1.2,0.668,HIGH,NEUTRAL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-02-06,2024-02,VWAP_REVERSION,SELL,45734.2,45793.92,45662.54,1.2,0.556,MEDIUM,NEUTRAL,NEUTRAL,CHOPPY,TARGET_WIN,1.2
2024-02-07,2024-02,ORB,SELL,45838.7,45947.5,45708.14,1.2,0.633,HIGH,NEUTRAL,NEUTRAL,TREND,TARGET_WIN,1.2
2024-02-07,2024-02,PIVOT_SCALP,SELL,45838.7,45966.65,45685.16,1.2,0.657,HIGH,NEUTRAL,NEUTRAL,TREND,TARGET_WIN,1.2
2024-02-07,2024-02,VWAP_REVERSION,BUY,45882.65,45793.28,45989.89,1.2,0.529,MEDIUM,NEUTRAL,NEUTRAL,TREND,LOSS,-1.0
2024-02-07,2024-02,VWAP_REVERSION,BUY,45847.35,45780.8,45927.21,1.2,0.599,MEDIUM,NEUTRAL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-02-07,2024-02,VWAP_REVERSION,BUY,45734.0,45688.18,45788.98,1.2,0.525,MEDIUM,NEUTRAL,NEUTRAL,TREND,LOSS,-1.0
2024-02-08,2024-02,VWAP_REVERSION,BUY,46020.6,45912.43,46150.4,1.2,0.608,HIGH,NEUTRAL,BUY,TREND,LOSS,-1.0
2024-02-08,2024-02,ORB,SELL,45852.45,46060.81,45602.42,1.2,0.534,MEDIUM,NEUTRAL,NEUTRAL,CHOPPY,TARGET_WIN,1.2
2024-02-08,2024-02,ORB,SELL,45874.25,45967.07,45762.87,1.2,0.591,MEDIUM,SELL,NEUTRAL,CHOPPY,TARGET_WIN,1.2
2024-02-08,2024-02,VWAP_REVERSION,BUY,45399.45,45319.37,45495.55,1.2,0.734,HIGH,NEUTRAL,NEUTRAL,TREND,TARGET_WIN,1.2
2024-02-08,2024-02,PIVOT_SCALP,BUY,45399.45,45319.37,45495.55,1.2,0.734,HIGH,NEUTRAL,NEUTRAL,TREND,TARGET_WIN,1.2
2024-02-08,2024-02,VWAP_REVERSION,BUY,45482.85,45381.44,45604.54,1.2,0.591,MEDIUM,NEUTRAL,NEUTRAL,TREND,LOSS,-1.0
2024-02-09,2024-02,VWAP_REVERSION,SELL,45198.15,45360.71,45003.08,1.2,0.68,HIGH,BUY,NEUTRAL,CHOPPY,TRAIL_WIN,0.01
2024-02-09,2024-02,VWAP_REVERSION,SELL,45237.7,45284.09,45182.03,1.2,0.528,MEDIUM,NEUTRAL,NEUTRAL,TREND,TARGET_WIN,1.2
2024-02-09,2024-02,VWAP_REVERSION,SELL,45201.55,45283.85,45102.79,1.2,0.682,HIGH,NEUTRAL,NEUTRAL,CHOPPY,TARGET_WIN,1.2
2024-02-09,2024-02,VWAP_REVERSION,BUY,45166.15,45045.49,45310.94,1.2,0.532,MEDIUM,SELL,NEUTRAL,CHOPPY,TARGET_WIN,1.2
2024-02-09,2024-02,EMA_SCALP,BUY,45406.7,45337.84,45489.33,1.2,0.855,HIGH,BUY,NEUTRAL,TREND,TRAIL_WIN,0.03
2024-02-12,2024-02,ORB,SELL,45483.95,45632.32,45305.91,1.2,0.632,HIGH,NEUTRAL,NEUTRAL,RANGE,TARGET_WIN,1.2
2024-02-12,2024-02,ORB,SELL,45454.1,45575.96,45307.87,1.2,0.506,MEDIUM,NEUTRAL,NEUTRAL,RANGE,TARGET_WIN,1.2
2024-02-12,2024-02,PIVOT_SCALP,BUY,44883.15,44806.0,44975.73,1.2,0.65,HIGH,NEUTRAL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-02-13,2024-02,VWAP_REVERSION,BUY,45011.8,44808.13,45256.2,1.2,0.739,HIGH,BUY,NEUTRAL,CHOPPY,TARGET_WIN,1.2
2024-02-13,2024-02,ORB,BUY,45181.1,45072.29,45311.67,1.2,0.558,MEDIUM,BUY,NEUTRAL,TREND,TARGET_WIN,1.2
2024-02-13,2024-02,ORB,BUY,45259.6,45072.96,45483.57,1.2,0.579,MEDIUM,BUY,NEUTRAL,TREND,TRAIL_WIN,0.3
2024-02-14,2024-02,PIVOT_SCALP,BUY,45059.6,44849.58,45311.62,1.2,0.837,HIGH,NEUTRAL,NEUTRAL,TREND,TARGET_WIN,1.2
2024-02-14,2024-02,VWAP_REVERSION,SELL,45054.55,45230.96,44842.86,1.2,0.658,HIGH,NEUTRAL,NEUTRAL,TREND,LOSS,-1.0
2024-02-14,2024-02,VWAP_REVERSION,SELL,45276.05,45358.18,45177.49,1.2,0.518,MEDIUM,NEUTRAL,NEUTRAL,TREND,TRAIL_WIN,0.02
2024-02-14,2024-02,VWAP_REVERSION,SELL,45239.25,45323.11,45138.62,1.2,0.717,HIGH,NEUTRAL,NEUTRAL,TREND,LOSS,-1.0
2024-02-14,2024-02,VWAP_REVERSION,SELL,45297.3,45337.98,45248.48,1.2,0.622,HIGH,NEUTRAL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-02-15,2024-02,ORB,SELL,45801.7,45984.92,45581.84,1.2,0.544,MEDIUM,NEUTRAL,NEUTRAL,CHOPPY,TRAIL_WIN,0.01
2024-02-15,2024-02,VWAP_REVERSION,BUY,45853.2,45637.26,46112.33,1.2,0.501,MEDIUM,NEUTRAL,NEUTRAL,TREND,TRAIL_WIN,0.3
2024-02-15,2024-02,VWAP_REVERSION,SELL,45848.4,45987.35,45681.66,1.2,0.727,HIGH,BUY,NEUTRAL,CHOPPY,LOSS,-1.0
2024-02-15,2024-02,VWAP_REVERSION,SELL,45889.05,45981.39,45778.24,1.2,0.696,HIGH,BUY,NEUTRAL,CHOPPY,LOSS,-1.0
2024-02-15,2024-02,ORB,BUY,46221.85,46137.18,46323.45,1.2,0.609,HIGH,BUY,BUY,TREND,LOSS,-1.0
2024-02-16,2024-02,VWAP_REVERSION,SELL,46423.05,46467.07,46370.23,1.2,0.702,HIGH,NEUTRAL,NEUTRAL,TREND,TRAIL_WIN,0.3
2024-02-16,2024-02,ORB,BUY,46562.35,46471.36,46671.54,1.2,0.685,HIGH,BUY,NEUTRAL,TREND,TARGET_WIN,1.2
2024-02-16,2024-02,ORB,BUY,46649.15,46514.89,46810.26,1.2,0.587,MEDIUM,BUY,BUY,TREND,LOSS,-1.0
2024-02-19,2024-02,VWAP_REVERSION,BUY,46400.55,46350.5,46460.61,1.2,0.631,HIGH,NEUTRAL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-02-19,2024-02,VWAP_REVERSION,SELL,46424.1,46486.3,46349.46,1.2,0.512,MEDIUM,NEUTRAL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-02-19,2024-02,PIVOT_SCALP,SELL,46599.95,46647.35,46543.07,1.2,0.502,MEDIUM,NEUTRAL,NEUTRAL,TREND,LOSS,-1.0
2024-02-20,2024-02,VWAP_REVERSION,SELL,46563.35,46668.94,46436.64,1.2,0.75,HIGH,NEUTRAL,NEUTRAL,TREND,LOSS,-1.0
2024-02-21,2024-02,PIVOT_SCALP,SELL,47138.95,47368.81,46863.12,1.2,0.755,HIGH,NEUTRAL,NEUTRAL,CHOPPY,TRAIL_WIN,0.01
2024-02-21,2024-02,ORB,SELL,47025.95,47112.36,46922.26,1.2,0.574,MEDIUM,SELL,NEUTRAL,RANGE,TRAIL_WIN,0.3
2024-02-21,2024-02,VWAP_REVERSION,BUY,47049.7,46952.41,47166.45,1.2,0.525,MEDIUM,SELL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-02-21,2024-02,VWAP_REVERSION,BUY,47013.4,46915.58,47130.78,1.2,0.794,HIGH,SELL,NEUTRAL,RANGE,TARGET_WIN,1.2
2024-02-21,2024-02,VWAP_REVERSION,SELL,47139.8,47195.21,47073.31,1.2,0.761,HIGH,BUY,NEUTRAL,CHOPPY,TRAIL_WIN,0.03
2024-02-22,2024-02,ORB,SELL,46858.8,46977.27,46716.64,1.2,0.563,MEDIUM,SELL,NEUTRAL,TREND,TARGET_WIN,1.2
2024-02-23,2024-02,VWAP_REVERSION,SELL,46995.4,47112.1,46855.36,1.2,0.56,MEDIUM,NEUTRAL,NEUTRAL,TREND,LOSS,-1.0
2024-02-23,2024-02,VWAP_REVERSION,BUY,46986.15,46842.13,47158.97,1.2,0.711,HIGH,NEUTRAL,BUY,CHOPPY,LOSS,-1.0
2024-02-23,2024-02,VWAP_REVERSION,BUY,47057.55,46866.78,47286.47,1.2,0.619,HIGH,NEUTRAL,BUY,CHOPPY,LOSS,-1.0
2024-02-26,2024-02,VWAP_REVERSION,SELL,46812.1,46860.98,46753.44,1.2,0.522,MEDIUM,NEUTRAL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-02-26,2024-02,ORB,BUY,46879.35,46781.71,46996.52,1.2,0.666,HIGH,NEUTRAL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-02-26,2024-02,VWAP_REVERSION,SELL,46799.75,46901.72,46677.39,1.2,0.733,HIGH,NEUTRAL,NEUTRAL,CHOPPY,TARGET_WIN,1.2
2024-02-27,2024-02,ORB,SELL,46384.6,46546.78,46189.98,1.2,0.54,MEDIUM,SELL,NEUTRAL,TREND,LOSS,-1.0
2024-02-27,2024-02,VWAP_REVERSION,BUY,46447.95,46360.5,46552.89,1.2,0.598,MEDIUM,SELL,NEUTRAL,CHOPPY,TRAIL_WIN,0.02
2024-02-27,2024-02,VWAP_REVERSION,BUY,46469.0,46374.83,46582.0,1.2,0.727,HIGH,SELL,NEUTRAL,CHOPPY,TARGET_WIN,1.2
2024-02-27,2024-02,ORB,BUY,46584.25,46474.42,46716.05,1.2,0.667,HIGH,BUY,NEUTRAL,TREND,TRAIL_WIN,0.3
2024-02-27,2024-02,ORB,BUY,46616.8,46543.53,46704.72,1.2,0.502,MEDIUM,BUY,NEUTRAL,TREND,LOSS,-1.0
2024-02-27,2024-02,ORB,BUY,46664.5,46532.4,46823.02,1.2,0.634,HIGH,BUY,NEUTRAL,TREND,LOSS,-1.0
2024-02-28,2024-02,ORB,BUY,46708.1,46552.53,46894.78,1.2,0.568,MEDIUM,BUY,NEUTRAL,TREND,LOSS,-1.0
2024-02-28,2024-02,VWAP_REVERSION,SELL,46657.55,46760.86,46533.58,1.2,0.82,HIGH,BUY,NEUTRAL,CHOPPY,TARGET_WIN,1.2
2024-02-29,2024-02,VWAP_REVERSION,SELL,46046.65,46164.82,45904.85,1.2,0.547,MEDIUM,NEUTRAL,NEUTRAL,CHOPPY,TARGET_WIN,1.2
2024-02-29,2024-02,VWAP_REVERSION,BUY,45811.45,45741.1,45895.87,1.2,0.559,MEDIUM,NEUTRAL,NEUTRAL,CHOPPY,TARGET_WIN,1.2
2024-02-29,2024-02,VWAP_REVERSION,BUY,45860.4,45741.09,46003.57,1.2,0.64,HIGH,NEUTRAL,NEUTRAL,CHOPPY,TARGET_WIN,1.2
2024-02-29,2024-02,VWAP_REVERSION,SELL,45858.75,45933.86,45768.62,1.2,0.675,HIGH,NEUTRAL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-02-29,2024-02,VWAP_REVERSION,SELL,45868.75,45937.49,45786.26,1.2,0.531,MEDIUM,NEUTRAL,NEUTRAL,CHOPPY,TRAIL_WIN,0.03
2024-02-29,2024-02,VWAP_REVERSION,SELL,45954.5,46052.36,45837.07,1.2,0.534,MEDIUM,BUY,NEUTRAL,CHOPPY,LOSS,-1.0
2024-03-04,2024-03,PIVOT_SCALP,SELL,47337.1,47449.53,47202.18,1.2,0.575,MEDIUM,NEUTRAL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-03-04,2024-03,VWAP_REVERSION,BUY,47383.75,47302.62,47481.11,1.2,0.554,MEDIUM,NEUTRAL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-03-04,2024-03,ORB,SELL,47293.1,47400.07,47164.74,1.2,0.724,HIGH,NEUTRAL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-03-05,2024-03,VWAP_REVERSION,BUY,47325.05,47278.41,47381.02,1.2,0.855,HIGH,NEUTRAL,NEUTRAL,TREND,TARGET_WIN,1.2
2024-03-05,2024-03,EMA_SCALP,SELL,47296.4,47364.05,47215.22,1.2,0.708,HIGH,SELL,NEUTRAL,CHOPPY,LOSS,-1.0
2024-03-05,2024-03,VWAP_REVERSION,BUY,47332.95,47268.91,47409.8,1.2,0.548,MEDIUM,NEUTRAL,NEUTRAL,CHOPPY,TARGET_WIN,1.2
